uuid,cian_id,url,city,zone,district,street,house,description,floor_number,rooms_count,total_area,kitchen_area,living_area,agent_fee,deposit,price,build_year,total_floors,is_apartments,time_add,pred,low,high,price_grade
41ef36b1-a787-11ef-9564-168f5e928f4c,310242663,https://www.cian.ru/rent/flat/310242663/,Москва,ЗАО,р-н Дорогомилово,Дохтуровский переулок,6,"БЕЗ КОМИССИИ

Добрый день, уважаемый гость!
вашему вниманию представляется квартира от собственника, никаких комиссий не будет

Квартира 130 кв. м (118 по свидетельству, делали расширение за счет лоджий), трехкомнатная, два санузла (один совмещенный), кухня с мини складом и балконом, просторная гардеробная.

Дом не новый (2007 г) но обслуживание хорошее: в доме оперативно могут помочь с любыми коммунальными вопросами в будние дни, внизу охрана, на каждом этаже контейнер для мусора, который каждое утро персонал спускает и выкидывает

местоположение дома крайне удачное с точки зрения логистических путей. с одной стороны вы можете выехать на садовое, либо на бережковскую набережную, с другой - либо на кутузовский в сторону арбата, либо кутузовский в сторону области, таким образом, в зависимости от загруженности на дорогах балансируете, выбирая менее загруженный путь.

За время жизни квартиры, ремонт хоть и был дорогим, но моду потерял, плюс есть в квартире разные шероховатости, которые могут бросаться в глаза, но мы готовы какие-либо моменты обсуждать и восстанавливать.

Стоимость квартиры 290 тыс руб. в месяц 
залог 290 тыс руб., разбить можем на 2-3 месяца, чтобы снять финансовую нагрузку на въезд в квартиру 
Коммунальные платежи/счетчики и паркинг отдельно",12,3,130.0,0.0,0.0,0,290000,290000,2007,18,False,1732138261,319300.0,255440.0,383160.0,real_price
e1e88ec5-a7bf-11ef-9564-168f5e928f4c,310248774,https://www.cian.ru/rent/flat/310248774/,Москва,ЮВАО,р-н Рязанский,улица Михайлова,30,"Сдаётся студия с шикарным видом на Москву! 
 Параметры объекта:
Площадь: 25 м²
Этаж: 30 (в доме 4 лифта)
ЖК ""Михайловский"", новый дом с готовой отделкой
Расположение:
До м. Окская — 57 мин. пешком
До м. Стахановская — 1015 мин.
 Преимущества:
Установлена дорогая дизайнерская мебель
Встроенная техника, сплит-система, телевизор 50""
Полный комплект бытовой техники: кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель
 Комфорт:
Дом полностью заселён, соседи ремонтом беспокоить не будут
Залог можно внести в 2 этапа
Женщинам с интеллигентной профессией — скидка!
 Звоните и записывайтесь на просмотр!",30,0,25.0,5.0,15.0,50,65000,65000,2023,33,False,1732162588,60640.0,48512.0,72768.0,real_price
41f6a378-a731-11ef-9564-168f5e928f4c,310206005,https://www.cian.ru/rent/flat/310206005/,Москва,ЮВАО,р-н Рязанский,Шатурская улица,49,"Сдаем уютную красивую квартиру, хороший ремонт,  правда кондиционер сломался, починим! Рассматриваем порядочных платжеспособных граждан Рф. Залог можно разбить на 2месяца",4,1,34.0,6.7,19.7,0,45000,45000,1972,5,False,1732101245,49887.0,39909.600000000006,59864.399999999994,real_price
d157012a-a752-11ef-9564-168f5e928f4c,310230405,https://www.cian.ru/rent/flat/310230405/,Москва,СВАО,р-н Бибирево,улица Плещеева,22,"Пешком до м.Бибирево-10мин.Хорошее предложение скромной, чистой, ухоженной квартиры с косметическим ремонтом на длительный срок аренды.Дoм послe кaпитального pемoнта.
Вся необходимая мебель(двуспальная кровать 160*200 см, шкаф платяной, в  большой  вместительной прихожей  -встроенные шкафы и антресоли).Бытовая техника для комфортного проживания в наличии(двухкамерный холодильник, стиральная машина).
  Приятные адекватные собственники рассмотрят ТОЛЬКО семейную пару (без детей, без животных).Дополнительно оплата счетчиков(вода+ электроэнергия),также Ваш интернет. Депозит готовы разбить на пару месяцев.
 Хорошая локация- множество магазинов, предприятий бытового обслуживания.",3,1,38.0,9.0,20.0,50,45000,45000,0,12,False,1732115363,66683.0,53346.4,80019.59999999999,UNDERPRICE
476e2dca-a81e-11ef-9564-168f5e928f4c,310278535,https://www.cian.ru/rent/flat/310278535/,Москва,ЮВАО,р-н Выхино-Жулебино,улица Академика Скрябина,3,"Предлагаем вашему вниманию современную двухкомнатную квартиру в аренду по адресу: Москва, улица Академика Скрябина, 3/1к1. Квартира расположена на 16-м этаже нового 23-этажного дома, построенного в 2022 году. Общая площадь жилья составляет 60 кв. м, включая просторную кухню площадью 11 кв. м. 

В квартире выполнен качественный евроремонт, что создает атмосферу уюта и комфорта. Планировка продумана до мелочей: из окон открывается вид как на улицу, так и во двор. В квартире есть все необходимое для комфортного проживания: холодильник, телевизор, стиральная машина. В комнатах и на кухне установлена мебель. Совмещенный санузел оборудован ванной, что идеально для расслабления после рабочего дня. Для вашего удобства также предусмотрена лоджия.

Дом оборудован как пассажирским, так и грузовым лифтами, а также пандусом, что делает его доступным для всех категорий жильцов. Наземная парковка позволяет вам без проблем оставлять автомобиль рядом с домом. В здании проведен интернет, поэтому вы всегда будете на связи.

В шаговой доступности от дома находятся все необходимые для комфортной жизни объекты инфраструктуры: школы, детские сады, магазины и клиники. Отличное транспортное сообщение позволяет быстро добраться до любой точки города.

Условия аренды предполагают заключение договора. Квартира без обременений, поэтому процесс оформления будет быстрым и простым.

Приглашаем вас на просмотр, чтобы оценить все преимущества квартиры лично. Звоните и записывайтесь на удобное для вас время!",16,2,60.0,11.0,0.0,50,70000,75000,2022,23,False,1732202681,90753.0,72602.40000000001,108903.59999999999,real_price
e403b212-a713-11ef-9564-168f5e928f4c,310190873,https://www.cian.ru/rent/flat/310190873/,Москва,САО,р-н Беговой,Бумажный проезд,4,"Предлагается в аренду уютная и комфортная квартира.
Все параметры и фотографии соответствуют действительности.
Квартира готова к заселению - есть всё необходимое для полноценного проживания!

Оперативный показ в удобное время. Никаких предоплат - всё честно и прозрачно!

Любые вопросы можете задать нашему брокеру по телефону в объявлении!
Эта квартира ждет Вас!",8,2,60.0,10.0,42.0,50,200000,200000,0,20,False,1732088829,103575.0,82860.0,124290.0,OVERPRICE
d55b41c2-a7e9-11ef-9564-168f5e928f4c,310259828,https://www.cian.ru/rent/flat/310259828/,Москва,ВАО,р-н Богородское,проезд 4-й Подбельского,4,"Сдаётся 2-комнатная квартира в Москве, по адресу: 4-й проезд Подбельского, 4к2. Общая площадь квартиры составляет 57,2 кв. м, жилая — 34 кв. м, площадь кухни — 10 кв. м. Квартира расположена на 8 этаже 12-этажного кирпичного дома, построенного в 1980 году. Высота потолков — 2,7 метра, окна выходят во двор.

Квартира полностью укомплектована необходимой мебелью на кухне и в комнате. Также в наличии вся необходимая техника: холодильник, телевизор и стиральная машина. Планировка включает одну лоджию и отдельный санузел с ванной.

Дом находится в хорошем состоянии, имеется как пассажирский, так и грузовой лифт.

Условия аренды: квартира сдаётся на длительный срок, договор аренды не менее чем на 11 месяцев. 
У собственника имеются особые предпочтения к нанимателям, подробности уточняйте в чате",8,2,57.2,10.0,34.0,100,60000,60000,1980,12,False,1732180463,64172.0,51337.600000000006,77006.4,real_price
4d77c81d-a707-11ef-9564-168f5e928f4c,310187300,https://www.cian.ru/rent/flat/310187300/,Москва,ЗАО,р-н Фили-Давыдково,улица Герасима Курина,20,"Мы на связи и будем рады вам помочь! 

- Фотографии соответствуют данному объекту!
- Организуем МАКСИМАЛЬНО оперативный показ! 
- Договор аренды заключается ИСКЛЮЧИТЕЛЬНО с собственником жилья!

Отличный объект недвижимости для комфортной жизни! 
В квартире есть всё необходимое!

Развитая инфраструктура! Хотя где она в Москве не развитая?=)

Дети - цветы жизни - так же обсуждаются индивидуально!

У собственника могут быть дополнительные пожелания к жильцам!",22,1,44.0,10.0,22.0,50,90000,90000,2004,24,False,1732083023,89292.0,71433.6,107150.4,real_price
f72993ce-a72a-11ef-9564-168f5e928f4c,310203290,https://www.cian.ru/rent/flat/310203290/,Москва,ЮВАО,р-н Рязанский,улица Михайлова,30,"Id 48564. Сдаётся уютная трехкомнатная  квартира в новом доме.

В квартире сделан качественный евроремонт, а значит, всё выглядит стильно и современно. В комнате и на кухне есть вся необходимая мебель. Кухня оборудована современной техникой:  холодильник, индукционная плита,духовой шкаф. Ванная комната оснащена ванной, стиральной машиной.

Дом оснащён двумя пассажирскими и двумя грузовыми лифтами, поэтому можно без проблем добраться до квартиры.  Современный дом оборудован всеми необходимыми системами безопасности и связан с интернетом, что обеспечивает комфортное проживание.

Рядом с домом находятся школы, детские сады и магазины, поэтому можно быстро решить все ежедневные задачи. Удобная транспортная доступность позволяет легко добраться до нужных мест. Пешая доступность до метро. Вся необходимая инфраструктура в шаговой доступности, что делает это место идеальным для жизни в динамичном мегаполисе.",11,3,80.0,20.0,30.0,50,110000,110000,0,33,False,1732098465,129090.0,103272.0,154908.0,real_price
ac6455a2-a724-11ef-9564-168f5e928f4c,310197398,https://www.cian.ru/rent/flat/310197398/,Москва,ВАО,р-н Перово,улица Металлургов,48,"ВАШЕМУ ВНИМАНИЮ! 
ЗАЛОГ можно разбить на 2 части! 
 
Предлагается чистая, уютная, приятная квартира. 
В квартире имеется всё необходимое для проживания: мебель и техника. 
Удобная транспортная развязка, шаговая доступность до метро. 
Развитая инфраструктура, все необходимые магазины, аптеки, парикмахерские и т.д.. 
 
Хороший собственник, адекватные соседи. 
Оперативный показ. 
По всем вопросам звонить 24/7",1,2,45.0,6.0,29.0,50,55000,50000,1959,5,False,1732095430,58977.0,47181.600000000006,70772.4,real_price
a5a78498-a739-11ef-9564-168f5e928f4c,310216931,https://www.cian.ru/rent/flat/310216931/,Москва,ВАО,р-н Соколиная гора,Измайловское шоссе,62,"Арт. 83099544 Вашему вниманию предлагается 1-х комнатная квартира. Сдается на длительный срок.  Рядом Измайловский парк, магазины, садик и школа. Рассмотрим ВСЕХ приличных платежеспособных граждан. Оперативный показ.
-----
Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону",4,1,30.6,6.0,18.0,70,50000,50000,1962,8,False,1732104930,52025.0,41620.0,62430.0,real_price
b1311730-a811-11ef-9564-168f5e928f4c,310273959,https://www.cian.ru/rent/flat/310273959/,Москва,САО,р-н Хорошевский,Хорошевское шоссе,12,"Предлагается в аренду уютная и комфортная квартира.
Все параметры и фотографии соответствуют действительности.
Квартира готова к заселению - есть всё необходимое для полноценного проживания!

Оперативный показ в удобное время. Никаких предоплат - всё честно и прозрачно!

Любые вопросы можете задать нашему брокеру по телефону в объявлении!
Эта квартира ждет Вас!",21,1,45.0,10.0,27.0,50,100000,100000,0,37,False,1732197199,121597.0,97277.6,145916.4,real_price
